6547625;John Cowley;;;;;;;;;;https://doi.org/10.1007/978-1-4471-4357-4;;;978-1-4471-4356-7|978-1-4471-4357-4;;books/daglib/0030116;2017-05-16;;;;I-XIX, 1-251;Springer;;;;Undergraduate Topics in Computer Science;db/series/utcs/index.html;;;Communications and Networking - An Introduction, Second Edition.;;;2013
6547627;;;;;;;;;Faramarz Samavati|Joaquim A. Jorge;0000-0001-5441-4637;https://doi.org/10.1007/978-1-84882-812-4;;;978-1-84882-811-7|978-1-84882-812-4;;books/daglib/0028466;2017-05-29;;;;;Springer;;;;;;;;Sketch-based Interfaces and Modeling;db/books/collections/JS2011.html;;2011
6547628;Douglas E. Comer;;;;;;;;;;;;;;;books/daglib/0020823;2011-03-23;;;;I-XVI, 1-342;Pearson Education;;;;;;;;Automated network management systems - current and future capabilities.;;;2007
6547629;James A. McHugh;;;;;;;;;;;;;978-0-13-019092-5;;books/daglib/0067083;2011-05-05;;;;I-VIII, 1-327;Prentice Hall;;;;;;;;Algorithmic graph theory.;;;1990
6547630;Åke Björck;;;;;;;;;;https://doi.org/10.1137/1.9781611971484;;;978-0-89871-360-2;;books/daglib/0090457;2019-07-23;;;;I-XVII, 1-408;SIAM;;;;;;;;Numerical methods for least square problems.;;;1996
6547631;Christian Rank|Peter Kleinschmidt;;;;;;;;;;;;;978-3-540-62447-9;;books/daglib/0008442;2011-04-12;;;;I-X, 1-218;Springer;;;;;;;;Relationale Datenbanksysteme - eine praktische Einführung.;;;1997
6547632;Conor Ryan|Michael O'Neill 0001;;;;;;;;;;;;;978-1-4020-7444-8;;books/daglib/0008988;2019-07-15;;;;I-XVI, 1-144;Kluwer;;;;Genetic programming;;;;Grammatical evolution - evolutionary automatic programming in an arbitrary language.;;4;2003
6547634;Mitch Tulloch;;;;;;;;;;;;;978-1-56592-713-1;;books/daglib/0003510;2011-04-07;;;;I-X, 1-786;O'Reilly;;;;;;;;Windows 2000 administration in a nutshell - a desktop quick reference.;;;2001
6547635;Martin Kütz;;;;;;;;;;;;;978-3-89864-398-6;;books/daglib/0016997;2011-03-24;;;;I-X, 1-268;dpunkt.verlag;;;;;;;;IT-Steuerung mit Kennzahlensystemen.;;;2006
6547636;Duncan Reed|Peter Thomas;;;;;;;;;;;;;978-3-540-76199-0;;books/daglib/0091279;2019-03-15;;;;I-X, 1-133;Springer;;;;;;;;Essential HTML fast;;;1998
6547637;Christoph Beierle|Gabriele Kern-Isberner;;;;;;;;;;https://doi.org/10.1007/978-3-8348-2300-7;;;978-3-8348-1896-6;;books/daglib/0035224;2019-07-15;;;;I-XVI, 1-545;SpringerVieweg;;;;Computational intelligence;;;;Methoden wissensbasierter Systeme - Grundlagen, Algorithmen, Anwendungen, 5. Auflage.;;;2014
6547638;István Gaál;;;;;;;;;;;;;978-0-8176-4271-6;;books/daglib/0010849;2011-04-15;;;;I-XIII, 1-184;Birkhäuser;;;;;;;;Diophantine equations and power integral bases - new computational methods.;;;2002
6547639;William J. Buchanan;;;;;;;;;;;;;978-0-340-74076-7;;books/daglib/0002937;2011-04-18;;;;I-XIV, 1-608;Arnold;;;;;;;;Computer busses - design and application.;;;2000
6547640;Dieter Suter|Joachim Stolze;;;;;;;;;;;;;978-3-527-40787-3;;books/daglib/0022420;2011-03-15;;;;I-XVII, 1-265;Wiley;;;;;;;;Quantum computing - a short course from theory to experiment (2. ed.).;;;2008
6547641;Jeff Webb;;;;;;;;;;http://www.oreilly.com/catalog/9780596514075/index.html;;;978-0-596-51407-5;;books/daglib/0018906;2011-03-21;;;;I-XV, 1-428;O'Reilly;;;;;;;;Essential SharePoint 2007 - a practical guide for users, administrators and developers (2. ed.).;;;2007
6547642;Lauren Ruth Wiener;;;;;;;;;;;;;978-0-201-62609-4;;books/daglib/0072423;2011-04-29;;;;I-XVIII, 1-245;Addison-Wesley;;;;;;;;Digital woes - why we should not depend on software.;;;1993
6547643;Daphne Koller|Nir Friedman;;;;;;;;;;http://mitpress.mit.edu/catalog/item/default.asp?ttype=2&tid=11886;;;978-0-262-01319-2;;books/daglib/0023091;2011-02-09;;;;I-XXXV, 1-1231;MIT Press;;;;;;;;Probabilistic Graphical Models - Principles and Techniques.;;;2009
6547644;Miroslav Krstic|Nikolaos Bekiaris-Liberis;;;;;;;;;;https://doi.org/10.1137/1.9781611972856;;;978-1-611973-17-4;;books/daglib/0032692;2017-05-16;;;;I-XII, 1-299;SIAM;;;;Advances in design and control;;;;Nonlinear Control Under Nonconstant Delays.;;25;2013
6547645;Jean-Pierre Serre;;;;;;;;;;;;;978-0-201-09384-1;;books/daglib/0070570;2011-05-05;;;;;Addison-Wesley;;;;Advanced book classics;;;;Abelian L-adic representation and elliptic curves.;;;1989
6547646;Donald Xie|Jesse Liberty;;;;;;;;;;http://www.oreilly.com/catalog/9780596527433/index.html;;;978-0-596-52743-3;;books/daglib/0019746;2011-03-23;;;;I-XVIII, 1-587;O'Reilly;;;;;;;;Programming C# 3.0 - best-selling guide to building Windows and web applications wit C# 3.0: covers visual studio 2008, LINQ, .NET 3.5, and more (5. ed.).;;;2007
6547647;Douglas Finke;;;;;;;;;;http://www.oreilly.de/catalog/9781449322700/index.html;;;978-1-449-32270-0;;books/daglib/0029488;2012-09-04;;;;I-XVI, 1-189;O'Reilly;;;;;;;;Windows Powershell for Developers - Enhance Your Productivity and Enable Rapid Application Development.;;;2012
6547648;Erich Gamma|Kent L. Beck;;;;;;;;;;http://www.informit.com/store/contributing-to-eclipse-principles-patterns-and-plug-9780321205759;;;978-0-321-20575-9;;books/daglib/0009832;2019-07-15;;;;I-XIX, 1-395;Addison-Wesley;;;;The Eclipse series;;;;Contributing to Eclipse - principles, patterns, and plug-ins.;;;2004
6547649;Heide Balzert;;;;;;;;;;;;;978-3-8274-1162-4;;books/daglib/0012043;2019-07-19;;;;I-XVII, 1-568;Spektrum Akadem. Verl.;;;;;;;;Lehrbuch der Objektmodellierung - Analyse und Entwurf mit der UML 2, 2. Auflage.;;;2005
6547650;Anthony Brabazon|Michael O'Neill 0001;;;;;;;;;;;;;978-3-540-26252-7;;books/daglib/0015440;2019-07-09;;;;I-XV, 1-275;Springer;;;;Natural computing series;;;;Biologically inspired algorithms for financial modelling.;;;2006
6547651;Rob Flickenger;;;;;;;;;;http://www.oreilly.de/catalog/linuxsvrhack/index.html;;;978-0-596-00461-3;;books/daglib/0008035;2011-02-03;;;;I-XVI, 1-221;O'Reilly;;;;;;;;Linux server hacks - 100 industrial-strength tips and tools.;;;2003
6547652;Simon Monk;;;;;;;;;;http://www.oreilly.de/catalog/9781449328238/index.html;;;978-1-449-32823-8;;books/daglib/0029289;2012-09-04;;;;I-VIII, 1-76;O'Reilly;;;;Make projects;;;;Getting Started with .NET Gadgeteer - Learn to Use this .NET Micro Framework-powered Platform.;;;2012
6547653;Bryce Glass|F. Randall Farmer;;;;;;;;;;http://www.oreilly.de/catalog/9780596159795/index.html;;;978-0-596-15979-5;;books/daglib/0024295;2011-02-04;;;;I-XVIII, 1-316;O'Reilly;;;;;;;;Building Web Reputation Systems - Ratings, Reviews and Karma to Keep Your Community Healthy.;;;2010
6547654;Ben Albahari|Peter Drayton|Ted Neward;;;;;;;;;;http://www.oreilly.de/catalog/csharpnut2/index.html;;;978-0-596-00526-9;;books/daglib/0009512;2011-04-12;;;;I-XXIII, 1-897;O'Reilly;;;;;;;;C# in a nutshell - a desktop quick reference: includes bonus Visual Studio .Net add-in (2. ed.).;;;2003
6547655;Mohand Mokhtari;;;;;;;;;;http://www.springer.com/computer/ai/book/978-3-540-66649-3;;;978-3-540-66649-3;;books/daglib/0000958;2016-06-23;;;;I-XX, 1-662;Springer;;;;;;;;MATLAB 5.2 and 5.3 et SIMULINK 2 and 3 pour etudiants et ingenieurs.;;;2000
6547656;Albrecht Böttcher|Sergei M. Grudsky;;;;;;;;;;https://doi.org/10.1137/1.9780898717853;;;978-0-89871-599-6;;books/daglib/0014536;2017-05-16;;;;I-X, 1-411;SIAM;;;;;;;;Spectral properties of banded Toeplitz matrices.;;;2005
6547657;Edd Dumbill|Niel M. Bornstein;;;;;;;;;;http://www.oreilly.de/catalog/monoadn/index.html;;;978-0-596-00792-8;;books/daglib/0011413;2011-04-12;;;;I-XXII, 1-278;O'Reilly;;;;;;;;Mono - a developer's notebook: Gtk#, MonoDevelop, web services, IKVM.;;;2004
6547659;Klaus Mainzer;;;;;;;;;;;;;978-3-89678-454-4;;books/daglib/0014682;2011-04-14;;;;1-296;Primus;;;;;;;;KI - Künstliche Intelligenz: Grundlagen intelligenter Systeme.;;;2003
6547660;William R. Stanek;;;;;;;;;;http://www.oreilly.de/catalog/9780596800970/index.html;;;978-0-596-80097-0;;books/daglib/0023558;2011-02-04;;;;I-XXV, 1-961;O'Reilly;;;;;;;;Windows 7 - The Definitive Guide: The Essential Resource for Professionals and Power Users.;;;2010
6547661;David A. Patterson|John L. Hennessy;;;;;;;;;;;;;978-1-55860-596-1;;books/daglib/0006883;2011-04-07;;;;;Morgan Kaufmann;;;;;;;;Computer architecture - a quantitative approach, 3rd Edition.;;;2003
6547662;Heinz Wörn|Uwe Brinkschulte;;;;;;;;;;;;;978-3-540-20588-3;;books/daglib/0012682;2019-07-12;;;;I-XIII, 1-556;Springer;;;;eXamen.press;;;;Echtzeitsysteme - Grundlagen, Funktionsweisen, Anwendungen.;;;2005
6547663;Diane J. Cook|Sajal K. Das 0001;;;;;;;;;;;;;978-0-471-54448-7;;books/daglib/0014062;2019-09-10;;;;I-XVII, 1-404;Wiley;;;;;;;;Smart environments - technology, protocols and applications.;;;2005
6547664;;;;Design Methodology for Intelligent Technical Systems;;;;;Franz-Josef Rammig|Jürgen Gausemeier|Wilhelm Schäfer;;https://doi.org/10.1007/978-3-642-45435-6;;;978-3-642-45434-9|978-3-642-45435-6;;books/daglib/0033267;2017-05-16;;;;;Springer;;;;;;;;Design Methodology for Intelligent Technical Systems, Develop Intelligent Technical Systems of the Future;db/books/collections/GMS2014.html;;2014
6547665;John W. Lloyd;;;;;;;;;;http://www.springer.com/computer/swe/book/978-3-540-42027-9;;;978-3-540-42027-9;;books/daglib/0009375;2011-08-23;;;;I-X, 1-256;Springer;;;;Cognitive Technologies;db/series/cogtech/index.html;;;Logic for learning - learning comprehensible theories from structured data.;db/series/cogtech/index.html#0009375;;2003
6547666;Alan R. Dennis|Christina Faulkner|David Groth|Frank Miller|Jerry FitzGerald|Patrick Ciccarelli|Tony Skandier;;;;;;;;;;;;;978-0-470-12799-5;;books/daglib/0019836;2019-06-27;;;;I-VI, 1-282;Wiley;;;;;;;;Networking basics - project manual.;;;2007
6547667;Charlotte Berrill|John Peacock|Michael Barnard;;;;;;;;;;;;;978-1-85713-004-1;;books/daglib/0077288;2011-04-29;;;;;Blueprint;;;;;;;;The blueprint handbook of print and production.;;;1994
6547668;Roger Sessions;;;;;;;;;;;;;978-0-471-19381-4;;books/daglib/0091705;2011-04-26;;;;I-XX, 1-492;Wiley;;;;;;;;COM and DCOM - Microsoft's vision for distributed objects.;;;1997
6547669;Catherine Mulligan;;;;;;;;;;https://www.routledge.com/The-Communications-Industries-in-the-Era-of-Convergence/Mulligan/p/book/9780415584845;;;978-1-13-868696-0;;books/daglib/0040518;2017-03-08;;;;I-XXII, 1-342;Routledge;;;;Routledge Studies in Global Competition;;;;The Communications Industries in the Era of Convergence.;;54;2012
6547670;Josh Lockhart;;;;;;;;;;http://www.oreilly.de/catalog/9781491905012/index.html;;;978-1-491-90501-2;;books/daglib/0035685;2015-06-11;;;;I-XVII, 1-244;O'Reilly;;;;;;;;Modern PHP - New Features and Good Practices.;;;2015
6547671;Ralph Grabowski;;;;;;;;;;;;;978-0-387-94831-7;;books/daglib/0085494;2011-04-21;;;;I-VII, 1-258;Springer;;;;;;;;The web publisher's illustrated quick reference - covers HTML 3.2 and VRML 2.0.;;;1997
6547672;Friedrich L. Bauer;;;;;;;;;;;;;978-3-540-24502-5;;books/daglib/0016931;2011-02-03;;;;I-XII, 1-524;Springer;;;;;;;;Decrypted secrets - methods and maxims of cryptology (4. ed.).;;;2007
6547673;Joseph D. Sloan;;;;;;;;;;http://www.oreilly.de/catalog/highperlinuxc/index.html;;;978-0-596-00570-2;;books/daglib/0012115;2011-02-19;;;;I-XV, 1-350;O'Reilly;;;;;;;;High performance Linux clusters - with OSCAR, Rocks, openMosix, and MPI.;;;2005
6547674;Klaus Palme;;;;;;;;;;;;;978-3-486-20328-8;;books/daglib/0098590;2011-04-14;;;;1-344;Oldenbourg;;;;;;;;Aufbau einer Datenbank - ein Praxisbeispiel.;;;1987
6547675;Werner Burkhardt;;;;;;;;;;;;;978-3-540-56649-6;;books/daglib/0072715;2011-04-08;;;;I-XII, 1-135;Springer;;;;;;;;Erste Schritte mit Maple.;;;1994
6547676;Andreas Zeller;;;;;;;;;;;;;978-1-55860-866-5;;books/daglib/0014055;2011-02-03;;;;I-XXVIII, 1-448;Elsevier;;;;;;;;Why programs fail - a guide to systematic debugging.;;;2006
6547677;Shelley Powers;;;;;;;;;;http://www.oreilly.de/catalog/9780596806132/index.html;;;978-0-596-80613-2;;books/daglib/0024900;2011-02-04;;;;I-XXII, 1-528;O'Reilly;;;;;;;;JavaScript Cookbook - Programming the Web.;;;2010
6547678;David M. Kroenke;;;;;;;;;;;;;978-0-02-946420-5;;books/daglib/0015690;2011-04-07;;;;I-XXVIII, 1-659;Macmillan Publ.;;;;;;;;Database processing - fundamentals, design, implementation (4. ed.).;;;1992
6547679;Richard A. Watson;;;;;;;;;;https://mitpress.mit.edu/books/compositional-evolution;;;978-0-262-23243-2;;books/daglib/0036873;2016-01-08;;;;I-XVI, 1-324;MIT Press;;;;The Vienna series in theoretical biology;;;;Compositional Evolution - The Impact of Sex, Symbiosis, and Modularity on the Gradualist Framework of Evolution.;;;2006
6547680;Armand de Callataÿ;;;;;;;;;;;;;978-0-444-89081-8;;books/daglib/0071752;2011-05-02;;;;1-560;North-Holland;;;;;;;;Natural and artificial intelligence - misconceptions about brains and neural networks.;;;1992
6547681;David A. Forsyth|Jean Ponce;;;;;;;;;;http://vig.pearsoned.com/store/product/1,1207,store-12521_isbn-013608592X,00.html;;;978-0-273-76414-4;;books/daglib/0034531;2015-03-23;;;;1-791;Pitman;;;;;;;;Computer Vision - A Modern Approach, Second Edition.;;;2012
6547682;Michael N. DeMers;;;;;;;;;;;;;978-0-470-12906-7;;books/daglib/0020254;2011-02-15;;;;I-XIII, 1-443;Wiley;;;;;;;;Fundamentals of geographic information systems (4. ed.).;;;2008
6547683;Heiko Milde;;;;;;;;;;;;;978-3-89838-271-7;;books/daglib/0010392;2011-08-26;;;;I-XII, 1-233;Infix Akademische Verlagsgesellschaft;;;;DISKI;db/series/diski/index.html;;;Qualitative Analyse von Störungen in elektrischen Systemen.;;271;2003
6547684;;;;;;;;;;;;;;978-3-7281-2885-0;;books/daglib/0009926;2019-07-18;;;;1-194;vdf;;;;;;;;Berufe der ICT - Informations- und Kommunikationstechnologien.;;;2003
6547685;Guang R. Gao|Jean-Luc Gaudiot|Lubomir Bic;;;;;;;;;;;;;978-0-8186-6542-4;;books/daglib/0081754;2011-04-27;;;;I-X, 1-450;IEEE;;;;;;;;Advanced topics in dataflow computing and multithreading.;;;1995
6547686;Ingrid Gabel-Becker;;;;;;;;;;;;;978-3-88457-278-8;;books/daglib/0084358;2019-07-19;;;;1-37;GMD;;;;GMD-Studien;;;;Untersuchung zur Nutzung des MultiMedia Forum.;;278;1995
6547687;Michael J. Crawley;;;;;;;;;;;;;;;books/daglib/0018715;2011-03-21;;;;I-VIII, 1-942;Wiley;;;;;;;;The R book.;;;2007
6547688;Márcio Moretto Ribeiro;;;;;;;;;;https://doi.org/10.1007/978-1-4471-4186-0;;;978-1-4471-4185-3;;books/daglib/0030177;2017-05-16;;;;I-XI, 1-120;Springer;;;;Springer Briefs in Computer Science;db/series/sbcs/index.html;;;Belief Revision in Non-Classical Logics.;;;2013
6547689;Katie Cunningham;;;;;;;;;;http://www.oreilly.de/catalog/9781449322854/index.html;;;978-1-449-32285-4;;books/daglib/0029923;2012-11-09;;;;I-XIII, 1-80;O'Reilly;;;;;;;;Accessibility Handbook - Making 508 Compliant Websites.;;;2012
6547690;Herbert Klaeren|Michael Sperber;;;;;;;;;;;;;978-3-8351-0155-5;;books/daglib/0018277;2019-07-09;;;;I-VIII, 1-321;Teubner;;;;Leitfäden der Informatik;;;;Die Macht der Abstraktion - Einführung in die Programmierung.;;;2007
6547691;Ian C. May|Malcolm R. Haskard;;;;;;;;;;;;;978-0-7248-0027-8;;books/daglib/0067151;2011-05-02;;;;I-X, 1-243;Prentice Hall;;;;Prentice Hall Silicon systems engineering series;;;;Analog VLSI design - nMOS and CMOS.;;;1988
6547693;Gottfried Vossen;;;;;;;;;;;;;978-0-201-41604-6;;books/daglib/0067666;2011-05-03;;;;I-XIV, 1-590;Addison-Wesley;;;;International computer science series;;;;Data models, database languages and database management systems.;;;1990
6547694;Stefan Pickl|Werner Krabs;;;;;;;;;;https://doi.org/10.1007/978-3-642-13722-8;;;978-3-642-13721-1;;books/daglib/0030065;2017-05-16;;;;I-X, 1-238;Springer;;;;;;;;Dynamical Systems - Stability, Controllability and Chaotic Behavior.;;;2010
6547695;Darrel C. Ince|P. David Coward;;;;;;;;;;;;;978-0-412-58340-7;;books/daglib/0074235;2019-07-18;;;;I-VI, 1-155;Chapman and Hall;;;;Chapman and Hall computer science : research and practice;;;;The symbolic execution of software - the SYM-BOL system.;;2;1994
6547696;C. Jinshong Hwang|Darryl E. Gibson;;;;;;;;;;;;;;;books/daglib/0098563;2011-04-14;;;;1-104;Prentice Hall;;;;;;;;"MACRO-11 assembly language - architecture and structured programming; solutions manual to MACRO 11 assembly language.";;;1986
6547698;Sal Cangelodo;;;;;;;;;;http://www.oreilly.de/catalog/9781449334765/index.html;;;978-1-449-33476-5;;books/daglib/0029539;2012-09-04;;;;I-VIII, 1-58;O'Reilly;;;;;;;;LED Lighting - A Primer to Lighting the Future: Illuminate Your World With Solid State Technology.;;;2012
6547699;Adolf F. Schwarz;;;;;;;;;;;;;978-0-12-632425-9;;books/daglib/0077417;2011-04-29;;;;I-VIII, 1-582;Academic Press;;;;;;;;Handbook of VLSI chip design and expert systems.;;;1993
6547700;Stefan Heijnk;;;;;;;;;;;;;978-3-932588-99-0;;books/daglib/0006589;2011-04-07;;;;I-XIII, 1-178;dpunkt.verlag;;;;;;;;Texten fürs Web - Grundlagen und Praxiswissen für Online-Redakteure.;;;2002
6547701;Willem-Jan van den Heuvel;;;;;;;;;;;;;978-90-5668-099-2;;books/daglib/0007272;2011-04-12;;;;I-VII, 1-232;Univ. Tilburg;;;;;;;;Integrating modern business applications with objectified legacy systems.;;;2002
6547702;Steven Skiena;;;;;;;;;;;;;978-0-201-50943-4;;books/daglib/0067009;2011-05-05;;;;I-VIII;Addison-Wesley;;;;;;;;Implementing discrete mathematics - combinatorics and graph theory with Mathematica.;;;1990
6547703;Sigrid D. Unseld;;;;;;;;;;;;;978-3-519-02180-3;;books/daglib/0067722;2011-05-03;;;;1-174;Teubner;;;;Informatik und Unternehmensführung;;;;Künstliche Intelligenz und Simulation in der Unternehmung - wissensbasierte Systeme im Dienste des Managements.;;;1990
6547704;Jan Graba;;;;;;;;;;;;;978-3-540-76234-8;;books/daglib/0092909;2011-04-21;;;;I-IX, 1-304;Springer;;;;;;;;Up and running with C++.;;;1998
6547705;Lee Hudspeth|T. J. Lee|Woody Leonhard;;;;;;;;;;;;;978-1-56592-310-2;;books/daglib/0091268;2011-04-26;;;;I-XIV, 1-379;O'Reilly;;;;;;;;Office 97 annoyances - taking charge of Microsoft Office.;;;1997
6547706;Steven Mikes;;;;;;;;;;;;;978-0-201-55077-1;;books/daglib/0067132;2011-04-07;;;;I-VIII, 1-296;Addison-Wesley;;;;;;;;X Window system program design and development.;;;1992
6547707;Borut Robic|Jurij Silc|Theo Ungerer;;;;;;;;;;;;;978-3-540-64798-0;;books/daglib/0097728;2011-04-20;;;;I-XXII, 1-389;Springer;;;;;;;;Processor architecture - from dataflow to superscalar and beyond.;;;1999
6547708;;;;;;;;;Athanasios V. Vasilakos|Manish Parashar|Stamatis Karnouskos|Witold Pedrycz;0000-0003-1902-9877|0000-0003-3519-8232;https://doi.org/10.1007/978-0-387-09753-4;;;978-0-387-09752-7;;books/daglib/0023509;2021-04-09;;;;;Springer;;;;;;;;Autonomic Communication;db/books/daglib/0023509.html;;2010
6547710;Jesse Liberty;;;;;;;;;;http://www.oreilly.de/catalog/progcsharp4/index.html;;;978-0-596-00699-0;;books/daglib/0012507;2011-04-01;;;;I-XX, 1-644;O'Reilly;;;;;;;;Programming C# - building .NET applications: covers C# 2.0, .NET 2.0 and visual studio 2005 (4 ed.).;;;2005
6547711;Geoff Lee;;;;;;;;;;;;;978-0-13-363086-2;;books/daglib/0077278;2011-04-29;;;;I-XI, 1-180;Prentice Hall;;;;;;;;Object-oriented GUI application development.;;;1993
6547712;János Abonyi|Ágnes Vathy-Fogarassy;;0000-0002-5524-1675;;;;;;;;https://doi.org/10.1007/978-1-4471-5158-6;;;978-1-4471-5157-9;;books/daglib/0031826;2018-11-02;;;;I-XIII, 1-110;Springer;;;;Springer Briefs in Computer Science;db/series/sbcs/index.html;;;Graph-Based Clustering and Data Visualization Algorithms.;;;2013
6547713;Gordon J. Pace;;0000-0003-0743-6272;;;;;;;;https://doi.org/10.1007/978-3-642-29840-0;;;978-3-642-29839-4;;books/daglib/0030170;2022-01-03;;;;I-XVI, 1-293;Springer;;;;;;;;Mathematics of Discrete Structures for Computer Science.;;;2012
6547714;Elliotte Rusty Harold|W. Scott Means;;;;;;;;;;http://www.oreilly.de/catalog/xmlnut3/index.html;;;978-0-596-00764-5;;books/daglib/0011812;2011-04-12;;;;1-640;O'Reilly;;;;;;;;XML in a nutshell - a desktop quick reference: covers XML 1.1. and XInclude (3. ed.).;;;2004
6547715;Timothy P. Layton;;;;;;;;;;;;;978-0-8493-7087-8;;books/daglib/0016471;2011-03-23;;;;1-222;Auerbach Publ.;;;;;;;;Information security - design, implementation, measurement, and compliance.;;;2006
6547716;;;;;;;;;Alexandros Potamianos|Patrick Gros|Petros Maragos;;https://doi.org/10.1007/978-0-387-76316-3;;;978-0-387-76315-6|978-0-387-76316-3;;books/daglib/0031939;2017-05-16;;;;;Springer;;;;;;;;Multimodal Processing and Interaction, Audio, Video, Text;db/books/collections/MPG2008.html;;2008
6547718;Anup Basu|Guido M. Cortelazzo|Irene Cheng 0001|Satish K. Tripathi;;;;;;;;;;;;;978-981-270-587-7;;books/daglib/0022155;2019-10-17;;;;I-XI, 1-357;World Scientific;;;;;;;;3D Online Multimedia and Games - Processing, Transmission and Visualization.;;;2009
6547719;Amy Gooch|Bruce Gooch;;;;;;;;;;;;;978-1-56881-133-8;;books/daglib/0007390;2011-04-15;;;;I-X, 1-243;A K Peters;;;;;;;;Non-photorealistic rendering.;;;2001
6547720;Rüdiger Dillmann|Tilo Gockel;;;;;;;;;;;;;978-3-89576-155-3;;books/daglib/0022549;2011-02-06;;;;1-319;Elektor-Verlag;;;;;;;;Embedded Robotics - Das Praxisbuch.;;;2005
6547721;Michael Havey;;;;;;;;;;http://www.oreilly.de/catalog/essentialpm/index.html;;;978-0-596-00843-7;;books/daglib/0013993;2011-04-01;;;;I-XV, 1-332;O'Reilly;;;;;;;;Essential business process modeling.;;;2005
6547722;Randy K. Young;;;;;;;;;;;;;978-0-7923-9271-2;;books/daglib/0071807;2019-07-18;;;;I-XIV, 1-220;Kluwer;;;;The Kluwer international series in engineering and computer science;;;;Wavelet theory and its applications.;;189;1993
6547723;Claus Heinrich;;;;;;;;;;;;;978-0-7645-8335-3;;books/daglib/0020059;2011-02-06;;;;I-XI, 1-267;Wiley;;;;;;;;RFID and beyond - growing your business through real world awareness.;;;2005
6547725;Yousef Saad;;;;;;;;;;https://doi.org/10.1137/1.9780898718003;;;978-0-89871-534-7;;books/daglib/0009092;2017-05-16;;;;I-XVIII, 1-528;SIAM;;;;;;;;Iterative methods for sparse linear systems.;;;2003
6547728;Michael Sampels;;;;;;;;;;https://d-nb.info/952945738;;;978-3-89722-051-5;;books/daglib/0098219;2021-07-17;;;;I-VIII, 1-208;Logos Verlag;;;University of Oldenburg, Germany;;;;;Algebraische Konstruktion effizienter Verbindungsnetzwerke.;;;1998
6547729;Matthew Hennessy;;;;;;;;;;;;;978-0-262-08171-9;;books/daglib/0066919;2011-05-02;;;;I-VI, 1-270;MIT Press;;;;MIT Press series in the foundations of computing;;;;Algebraic theory of processes.;;;1988
6547730;Frank Klawonn|Jörg Gebhardt|Rudolf Kruse;;;;;;;;;;;;;978-0-471-94243-6;;books/daglib/0080834;2011-04-27;;;;I-XII, 1-265;Wiley;;;;;;;;Foundations of fuzzy systems.;;;1994
6547731;Heinrich Welter|Rolf Assfalg|Udo Goebels;;;;;;;;;;;;;978-3-8273-1230-3;;books/daglib/0092155;2011-04-26;;;;1-389;Addison-Wesley-Longman;;;;;;;;Internet-Datenbanken - Konzept, Modelle, Werkzeuge.;;;1997
6547732;Graham Clarke|Mark H. Birkin|Martin Clarke;;;;;;;;;;http://eu.wiley.com/WileyCDA/WileyTitle/productCd-0471498033.html;;;978-0-471-49803-2;;books/daglib/0041228;2017-06-13;;;;I-IX, 1-284;Wiley;;;;;;;;Retail Geography and Intelligent Network Planning.;;;2002
6547734;;;;;;;;;Ivan Mistrík|John Grundy 0001|Jon G. Hall|Paris Avgeriou|Patricia Lago;0000-0003-4928-7076;https://doi.org/10.1007/978-3-642-21001-3;;;978-3-642-21000-6;;books/daglib/0027654;2018-09-13;;;;;Springer;;;;;;;;Relating Software Requirements and Architectures.;db/books/daglib/0027654.html;;2011
6547735;Ben Albahari|Brad Merrill|Peter Drayton;;;;;;;;;;;;;978-0-596-00079-0;;books/daglib/0003512;2011-04-07;;;;I-XIV, 1-199;O'Reilly;;;;;;;;C# essentials - programming the .NET framework.;;;2001
6547736;Melanie Mitchell;;;;;;;;;;;;;978-0-262-63185-3;;books/daglib/0019083;2011-04-15;;;;I-VIII, 1-208;MIT Press;;;;;;;;An introduction to genetic algorithms.;;;1998
6547737;James Elliott;;;;;;;;;;;;;978-0-596-00696-9;;books/daglib/0011013;2011-04-07;;;;I-XI, 1-176;O'Reilly;;;;;;;;Hibernate - a developer's notebook.;;;2004
6547738;A. N. Parshin|Igor R. Shafarevich;;;;;;;;;;https://doi.org/10.1007/978-3-642-58013-0;;;978-3-540-54700-6;;books/daglib/0091049;2019-07-18;;;;1-240;Springer;;;;Encyclopaedia of mathematical sciences;;;;Algebra VII - combinatorial group theory: applications to geometry.;;58;1993
6547739;Daniel J. Barrett;;;;;;;;;;http://www.oreilly.de/catalog/9780596519797/index.html;;;978-0-596-51979-7;;books/daglib/0021733;2011-02-08;;;;I-XIV, 1-358;O'Reilly;;;;;;;;MediaWiki - Wikipedia and beyond.;;;2009
6547740;Robert Sedgewick;;;;;;;;;;;;;978-0-201-51059-1;;books/daglib/0072386;2011-05-02;;;;I-XIV, 1-656;Addison-Wesley;;;;;;;;Algorithms in C++.;;;1992
6547743;Lar Kaufman|Matt Welsh;;;;;;;;;;;;;978-3-930673-19-3;;books/daglib/0080960;2011-04-08;;;;I-XXI, 1-639;O'Reilly;;;;;;;;Linux - Wegweiser zur Installation und Konfiguration.;;;1996
6547744;Colin Beardon|David Lumsden|Geoff Holmes;;;;;;;;;;;;;978-0-13-612813-7;;books/daglib/0068809;2011-04-19;;;;I-VII, 1-232;Ellis Horwood;;;;Ellis Horwood Series in computers and their applications;;;;Natural language and computational linguistics - an introduction.;;;1991
